time	d13	d12	d11	d10	d9	d8	d4	d3	d1
168h	4.8436	0.758325	8.24155	14.347	21.915	13.79585	14.65055	11.54575	3.558235
144h	2.58312	0.4329225	6.81455	10.1781	17.69675	12.35015	9.82917	8.4968	6.592985
132h	0.4323845	0.022814	3.05038	6.915245	19.89805	14.3843	15.0602	12.4858	6.16806
120h	0.144346	0	0.29372225	1.121165	16.23564	13.097215	20.4652	19.43005	6.367865
108h	0.1324405	0	0.0467584	0.2139445	9.722635	7.57676	15.0653	18.14625	13.6174
96h	0.1452965	0.00976955	0	0.0133242	1.4390495	1.752044	18.98495	21.3405	9.82376
84h	0.3757895	0	0	0	1.878345	0.859096	2.959345	3.124985	1.486325
72h	0.2590305	0	0	0	0.05475915	0.0678475	0.02121605	0.0432229	0.2492445
